dataset,encoder,n_qubits,seed,epochs,lr,train_loss,train_acc,test_loss,test_acc,n_encoder_params,n_ansatz_params,elapsed_s
breast_cancer,fixed_amplitude,10,0,30,0.05,0.6609936356544495,0.6263736263736264,0.6581262946128845,0.631578947368421,0,20,387.0795011520386
breast_cancer,learned,10,0,30,0.05,0.2808821499347687,0.8901098901098901,0.29886502027511597,0.8947368421052632,40,20,739.4397387504578
iris,fixed_basis,4,0,30,0.05,0.6940609812736511,0.725,0.810760498046875,0.7666666666666667,0,8,9.705768823623657
iris,fixed_basis,6,0,30,0.05,0.7891088128089905,0.7083333333333334,0.7775400876998901,0.7,0,12,13.54159665107727
iris,fixed_basis,8,0,30,0.05,0.7186111211776733,0.725,0.8254584074020386,0.7666666666666667,0,16,18.137008666992188
iris,fixed_basis,10,0,30,0.05,0.7187125086784363,0.725,0.8200247287750244,0.7666666666666667,0,20,24.230738401412964
wine,fixed_basis,4,0,30,0.05,1.0761175155639648,0.5633802816901409,1.0923957824707031,0.6111111111111112,0,8,10.890633344650269
wine,fixed_basis,6,0,30,0.05,1.0134785175323486,0.39436619718309857,0.9998921155929565,0.4722222222222222,0,12,15.993537902832031
wine,fixed_basis,8,0,30,0.05,1.0134516954421997,0.39436619718309857,1.0001282691955566,0.4722222222222222,0,16,21.557737827301025
wine,fixed_basis,10,0,30,0.05,1.0761935710906982,0.5633802816901409,1.0914627313613892,0.6111111111111112,0,20,28.036153554916382
seeds,fixed_basis,4,0,30,0.05,0.6973147392272949,0.6904761904761905,0.7775941491127014,0.6666666666666666,0,8,12.980743885040283
seeds,fixed_basis,6,0,30,0.05,0.6970721483230591,0.6904761904761905,0.7732146382331848,0.6666666666666666,0,12,18.864551544189453
seeds,fixed_basis,8,0,30,0.05,0.6970421671867371,0.6904761904761905,0.7736705541610718,0.6666666666666666,0,16,25.473342180252075
seeds,fixed_basis,10,0,30,0.05,0.6969342231750488,0.6904761904761905,0.7720768451690674,0.6666666666666666,0,20,33.00636148452759
breast_cancer,fixed_basis,4,0,30,0.05,0.4656522870063782,0.8219780219780219,0.618903398513794,0.7543859649122807,0,8,34.60201025009155
breast_cancer,fixed_basis,6,0,30,0.05,0.46560564637184143,0.8219780219780219,0.6165884137153625,0.7543859649122807,0,12,49.86165261268616
breast_cancer,fixed_basis,8,0,30,0.05,0.46554726362228394,0.8219780219780219,0.618869960308075,0.7543859649122807,0,16,80.53540897369385
breast_cancer,fixed_basis,10,0,30,0.05,0.46566516160964966,0.8219780219780219,0.6186854839324951,0.7543859649122807,0,20,117.55591559410095
